Date,Time,Area,Station,POINT_Z,P1,P2,P3,P4
2002-03-15,8:30:00 AM,A,51,78.00,873.513,42,6,0.409833
2002-04-16,7:59:00 AM,A,52,96.00,910.347,43,6,0.628203
2002-05-18,2:44:00 PM,A,53,76.00,917.759,48,6,-0.083203
2002-06-19,9:29:00 PM,A,54,77.00,959.121,53,6,-0.033607
2002-07-21,4:14:00 AM,A,55,67.00,912.656,50,6,0.625858
2003-03-28,4:14:00 PM,A,51,78.00,916.308,42,6,0.409833
2003-04-03,10:59:00 PM,A,52,96.00,953.147,43,6,0.628203
2003-04-09,5:44:00 AM,A,53,76.00,1001.393,48,6,-0.083203
2003-04-15,12:29:00 PM,A,54,77.00,1021.862,53,6,-0.033607
2003-04-21,7:14:00 PM,A,55,67.00,1010.997,50,6,0.625858
2001-01-01,10:15:00 AM,B,1,220.00,1006.870,65,6,-1.899750
2001-01-08,2:19:00 PM,B,2,231.00,987.468,62,6,-0.914261
2001-01-15,3:15:00 PM,B,3,241.00,1010.170,63,6,0.547786
2003-01-21,1:59:00 PM,B,1,,1032.512,65,6,-1.899750
2003-01-27,8:44:00 PM,B,2,,1065.955,62,6,-0.914261
2003-02-02,3:29:00 AM,B,3,,1091.611,63,6,0.547786
2002-01-17,10:59:00 AM,D,61,45.00,808.028,27,6,-1.676090
2002-01-30,5:44:00 PM,D,62,34.00,781.658,29,6,-0.144002
2002-02-12,12:29:00 AM,D,63,21.00,828.471,34,6,1.792650
2002-02-25,7:14:00 AM,D,64,46.00,813.174,38,6,-0.151743
2003-04-27,1:59:00 AM,D,61,45.00,903.985,27,6,-1.676090
2003-05-03,8:44:00 AM,D,62,34.00,831.319,29,6,-0.144002
2003-05-09,3:29:00 PM,D,63,21.00,902.431,34,6,1.792650
2003-05-15,10:14:00 PM,D,64,46.00,909.644,38,6,-0.151743
2001-02-12,2:11:00 PM,K,21,412.00,991.592,50,7,-1.264660
2001-02-19,12:00:00 PM,K,22,369.00,1001.420,55,7,0.243682
2001-02-26,11:00:00 PM,K,23,422.00,1020.470,57,7,0.521040
2003-02-26,6:29:00 AM,K,21,,1086.142,50,7,-1.264660
2003-03-04,1:14:00 PM,K,22,,1041.174,55,7,0.243682
2003-03-10,7:59:00 PM,K,23,,1044.223,57,7,0.521040
2001-01-22,8:11:00 PM,P,11,156.00,890.602,61,5,0.057102
2001-01-29,9:05:00 AM,P,12,168.00,907.612,65,5,-1.949280
2001-02-05,7:11:00 AM,P,13,170.00,927.962,64,6,-0.549077
2003-02-08,10:14:00 AM,P,11,,927.367,61,5,0.057102
2003-02-14,4:59:00 PM,P,12,,990.595,65,5,-1.949280
2003-02-20,11:44:00 PM,P,13,,1017.654,64,6,-0.549077
2002-02-11,5:22:00 PM,S,41,244.00,883.295,31,7,1.102950
2003-03-22,9:29:00 AM,S,41,,900.100,31,7,1.102950
2002-01-10,6:49:00 PM,T,31,333.00,1075.030,62,7,-0.026864
2003-03-16,2:44:00 AM,T,31,,1145.418,62,7,-0.026864
